Filename,"Asset ID","Folder ID",CUSTOMFIELD1,CUSTOMFIELD20,CUSTOMFIELD21,CUSTOMFIELD22,CUSTOMFIELD23,CUSTOMFIELD24,CUSTOMFIELD25,CUSTOMFIELD26,CUSTOMFIELD27,CUSTOMFIELD28,CUSTOMFIELD29,CUSTOMFIELD30,CUSTOMFIELD31,CUSTOMFIELD32,CUSTOMFIELD33,CUSTOMFIELD34,CUSTOMFIELD35,CUSTOMFIELD36,CUSTOMFIELD40,CUSTOMFIELD52,CUSTOMFIELD53,CUSTOMFIELD54,Width,Height,KEYWORD
21043_2644162.jpg,98799747,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6488,4325,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
IMG_1705.JPG,98799746,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,4032,3024,"Eastern Rail Yard,10 Hudson Yards"
21043_2644252.jpg,98799745,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
IMG_3312.jpg,98799744,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Eastern Rail Yard,Vessel,Eastern Rail Yard"
IMG_7117.JPG,98799743,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,640,480,"Eastern Rail Yard,10 Hudson Yards"
21043_2644183.jpg,98799742,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,4037,6055,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
20160913_AlvinAiley-HudsonYards_ChristopherDuggan_110.jpg,98799740,6861527,New,,,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,1997,3000,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Eastern Rail Yard,Vessel"
"2017-10-23 16.25.41.jpg",98799739,6861534,New,"Related Companies",,,,,,,,,,"Fast Company's ""Innovation Festival"" event with Jeff Blau and Stephen Ross at 10 HY. This included a select guest construction tour of ERY with Blau and Ross, and dinner served by Jose Andres in the Experience Center.",,,,,,,,,10/23/17,11/21/19,6000,4000,"Photographs,Events,Executives,Internal,Jeff T. Blau,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
21043_2644195.jpg,98799738,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6492,4328,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644235.jpg,98799737,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6312,4208,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
110217a-039.jpg,98799736,6861543,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/2/17,11/21/19,3014,4024,"Photographs,Events,Photographers,Beatrice Moritz,Eastern Rail Yard,15 Hudson Yards"
L1009814.jpg,98799735,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,837,681,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
20160914_RelatedCo_AlvinAiley_ChristopherDuggan_791.jpg,98799734,6861527,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3600,2395,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Executives,Internal,Stephen M. Ross,Architects and Designers,Thomas Heatherwick,Architects and Designers,Thomas Woltz,Politicians,Mayor Bill de Blasio,Personalities,Anderson Cooper,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644143.jpg,98799733,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
L1009816.jpg,98799732,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,650,578,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
21043_2644261.jpg,98799729,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6076,4051,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644264.jpg,98799728,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,2837,4255,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0990.jpg,98799727,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4500,3000,"Photographs,Events,Photographers,Photographers,Nate Abbott,Politicians,Mayor Bill de Blasio,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_3282.jpg,98799725,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Executives,Internal,Jeff T. Blau,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644140.jpg,98799724,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6097,4065,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644260.jpg,98799722,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,5813,3875,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0599.jpg,98799721,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4500,3000,"Photographs,Events,Photographers,Photographers,Nate Abbott,Architects and Designers,Thomas Woltz,Personalities,Anderson Cooper,Executives,Internal,Stephen M. Ross,Executives,Internal,Bruce A. Beal Jr.,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
110117012.jpg,98799720,6861543,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/1/17,11/21/19,2032,3059,"Photographs,Events,Photographers,Beatrice Moritz,Eastern Rail Yard,15 Hudson Yards"
160914_Abbott_Related_0963.jpg,98799719,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4500,3000,"Photographs,Events,Photographers,Photographers,Nate Abbott,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644267.jpg,98799718,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,5055,4044,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644132.jpg,98799716,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6355,4237,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Vessel,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
404.JPG,98799715,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,3264,2448,"Eastern Rail Yard,10 Hudson Yards"
"2017-10-23 15.30.28-2.jpg",98799712,6861534,New,"Related Companies",,,,,,,,,,"Fast Company's ""Innovation Festival"" event with Jeff Blau and Stephen Ross at 10 HY. This included a select guest construction tour of ERY with Blau and Ross, and dinner served by Jose Andres in the Experience Center.",,,,,,,,,10/23/17,11/21/19,6000,4000,"Photographs,Events,Executives,Internal,Jeff T. Blau,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
IMG_9499.JPG,98799711,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,1512,1512,"Eastern Rail Yard,10 Hudson Yards"
21043_2644137.jpg,98799710,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,5085,4068,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0311.jpg,98799709,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3000,4491,"Photographs,Events,Photographers,Photographers,Nate Abbott,Politicians,Mayor Bill de Blasio,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644241.jpg,98799707,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6660,4440,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Vessel,Eastern Rail Yard,The Shed,Americas,United States,NY - New York,Hudson Yards"
21043_2644210.jpg,98799705,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0711.jpg,98799704,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4500,3000,"Photographs,Events,Photographers,Photographers,Nate Abbott,Politicians,Deputy Mayor Dan Doctoroff,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_1707.JPG,98799703,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,4032,3024,"Eastern Rail Yard,10 Hudson Yards"
415.JPG,98799702,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,2448,3264,"Eastern Rail Yard,10 Hudson Yards"
21043_2644198.jpg,98799700,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,4480,6720,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Vessel,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
_DSF2706.JPG,98799699,6861534,New,"Related Companies",,,,,,,,,,"Fast Company's ""Innovation Festival"" event with Jeff Blau and Stephen Ross at 10 HY. This included a select guest construction tour of ERY with Blau and Ross, and dinner served by Jose Andres in the Experience Center.",,,,,,,,,10/23/17,11/21/19,6000,4000,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
IMG_1700.JPG,98799698,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,4032,3024,"Eastern Rail Yard,10 Hudson Yards"
21043_2644249.jpg,98799697,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,2616,3924,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_3306.jpg,98799696,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,3024,3024,"Photographs,Events,Photographers,Sarah Bellet,Executives,Internal,Jeff T. Blau,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Eastern Rail Yard"
FullSizeRender.jpg,98799693,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,3022,3225,"Eastern Rail Yard,10 Hudson Yards"
L1009506.jpg,98799692,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,800,502,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
IMG_3222.jpg,98799691,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Eastern Rail Yard,Vessel,Eastern Rail Yard"
"DSC_6970 - Copy-Photo Credit Paul Prince-Photo Credit Paul Prince.JPG",98799690,6861522,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4512,3008,"Photographs,Events,Photographers,Photographers,Paul Prince,Personalities,Diane von Furstenberg,Executives,Internal,Kenneth A. Himmel,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
"DSC_6970 - Copy-Photo Credit Paul Prince-Photo Credit Paul Prince.JPG",98799690,6861522,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4512,3008,"Photographs,Events,Photographers,Paul Prince,Personalities,Diane von Furstenberg,Executives,Internal,Kenneth A. Himmel,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_3137.jpg,98799689,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
L1009789.jpg,98799688,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,947,723,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
IMG_7114.JPG,98799687,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,640,480,"Eastern Rail Yard,10 Hudson Yards"
21043_2644163.jpg,98799686,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6330,4220,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0629.jpg,98799681,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4500,3000,"Photographs,Events,Photographers,Photographers,Nate Abbott,Politicians,Mayor Bill de Blasio,Executives,Internal,Stephen M. Ross,Executives,Internal,Bruce A. Beal Jr.,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644256.jpg,98799680,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644160.jpg,98799679,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
"2017-10-23 16.00.29.jpg",98799678,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,6000,4000,"Photographs,Events,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
20160914_RelatedCo_AlvinAiley_ChristopherDuggan_836.jpg,98799677,6861527,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,1997,3000,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_0658.jpg,98799676,6861530,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,5616,3744,"Photographs,Events,Photographers,Photographers,Karen Sterling,Personalities,Anderson Cooper,Politicians,Mayor Bill de Blasio,Architects and Designers,Thomas Heatherwick,Architects and Designers,Thomas Woltz,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
410.JPG,98799675,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,3264,2448,"Eastern Rail Yard,10 Hudson Yards"
20160914_RelatedCo_AlvinAiley_ChristopherDuggan_756.jpg,98799674,6861527,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3600,2396,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644216.jpg,98799672,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6586,4391,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_1711.JPG,98799671,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,4032,3024,"Eastern Rail Yard,10 Hudson Yards"
"2017-10-23 15.52.06.jpg",98799670,6861534,New,"Related Companies",,,,,,,,,,"Fast Company's ""Innovation Festival"" event with Jeff Blau and Stephen Ross at 10 HY. This included a select guest construction tour of ERY with Blau and Ross, and dinner served by Jose Andres in the Experience Center.",,,,,,,,,10/23/17,11/21/19,6000,4000,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"Fast Company FNL 102417.mov",98799669,6861534,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/23/19,1920,1080,"Photographs,EventsAmericas,United States,NY - New York,Hudson Yards"
21043_2644273.jpg,98799668,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6148,4099,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644219.jpg,98799667,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,4412,5515,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_3218.jpg,98799666,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,3024,4032,"Photographs,Events,Photographers,Sarah Bellet,Eastern Rail Yard,Vessel,Eastern Rail Yard"
IMG_1713.JPG,98799664,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,4032,3024,"Eastern Rail Yard,10 Hudson Yards"
20160914_RelatedCo_AlvinAiley_ChristopherDuggan_631.jpg,98799663,6861527,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3600,2395,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Executives,Internal,Stephen M. Ross,Personalities,Anderson Cooper,Architects and Designers,Thomas Heatherwick,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
20160914_RelatedCo_AlvinAiley_ChristopherDuggan_611.jpg,98799661,6861527,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,2395,3600,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Personalities,Anderson Cooper,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644226.jpg,98799660,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,5893,3929,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644197.jpg,98799659,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,4461,5576,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
20160914_RelatedCo_AlvinAiley_ChristopherDuggan_736.jpg,98799658,6861527,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3600,2396,"Photographs,Events,Photographers,Photographers,Christopher Duggan,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_9498.JPG,98799657,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,1512,1512,"Eastern Rail Yard,10 Hudson Yards"
21043_2644237.jpg,98799656,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0759.jpg,98799655,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3000,4500,"Photographs,Events,Photographers,Photographers,Nate Abbott,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
IMG_7113.JPG,98799654,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,640,480,"Eastern Rail Yard,10 Hudson Yards"
"2017-10-23 16.23.14.jpg",98799653,6861536,New,"Related Companies",,,,,,,,,,"Photos taken for Fast Company's ""Innovation Festival"" Event that were not selected as Social Media or other marketing materials.",,,,,,,,,10/23/17,11/21/19,6000,4000,"Photographs,Events,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0525.jpg,98799651,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,3000,4500,"Photographs,Events,Photographers,Photographers,Nate Abbott,Architects and Designers,Thomas Woltz,Personalities,Anderson Cooper,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
21043_2644245.jpg,98799649,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,5600,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
L1000044.jpg,98799648,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,1200,800,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
408.JPG,98799647,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,3264,2448,"Eastern Rail Yard,10 Hudson Yards"
"DSC_6945-Photo Credit Paul Prince-Photo Credit Paul Prince.JPG",98799646,6861521,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4512,3008,"Photographs,Events,Photographers,Photographers,Paul Prince,Personalities,Diane von Furstenberg,Executives,Internal,Kenneth A. Himmel,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
"DSC_6945-Photo Credit Paul Prince-Photo Credit Paul Prince.JPG",98799646,6861521,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4512,3008,"Photographs,Events,Photographers,Paul Prince,Personalities,Diane von Furstenberg,Executives,Internal,Kenneth A. Himmel,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
160914_Abbott_Related_0735.jpg,98799645,6861526,New,"Related Companies",,,,,,,,,,"Press event moderated by Anderson Cooper for the unveiling of Vessel. This included designers on the project, as well as notable VIP's. Alvin Ailey American Dance Theater performed an accompanying dance and reveal film.",,,,,,,,,9/14/16,11/23/19,4500,3000,"Photographs,Events,Photographers,Photographers,Nate Abbott,Executives,Internal,Stephen M. Ross,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
"Don Lemon_BFA.com.jpg",98799644,6861518,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/14/16,11/20/19,2400,3600,"Photographs,EventsAmericas,United States,NY - New York,Hudson Yards"
L1000058.jpg,98799643,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,910,501,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
IMG_7106.JPG,98799642,6861531,New,,,,,,,,,,,,,,,,,,,,12/12/16,11/19/19,640,480,"Eastern Rail Yard,10 Hudson Yards"
"Stephen Ross_BFA.com.jpg",98799641,6861518,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/14/16,11/20/19,3600,2400,"Photographs,Events,Executives,Internal,Stephen M. Ross,Americas,United States,NY - New York,Hudson Yards"
21043_2644187.jpg,98799640,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6720,4480,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
21043_2644159.jpg,98799638,6861538,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/2/17,11/21/19,6502,4335,"Photographs,Events,Photographers,Samantha Nandez,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
L1009784.jpg,98799637,6861537,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/22/18,11/21/19,884,635,"Photographs,Events,Eastern Rail Yard,10 Hudson Yards"
